state,county,fips,abbreviation
Arizona,La Paz,04012,AZ
Arizona,Maricopa,04013,AZ
Arizona,Mohave,04015,AZ
Arizona,Navajo,04017,AZ
Arizona,Pima,04019,AZ
Arizona,Pinal,04021,AZ
Arizona,Santa Cruz,04023,AZ
Arizona,Unknown,NA,AZ
Arizona,Yavapai,04025,AZ
Arizona,Yuma,04027,AZ
Arkansas,Arkansas,05001,AR
Arkansas,Ashley,05003,AR
Arkansas,Baxter,05005,AR
Arkansas,Benton,05007,AR
Arkansas,Boone,05009,AR
Arkansas,Bradley,05011,AR
Arkansas,Calhoun,05013,AR
Arkansas,Carroll,05015,AR
Arkansas,Chicot,05017,AR
Arkansas,Clark,05019,AR
Arkansas,Clay,05021,AR
Arkansas,Cleburne,05023,AR
Arkansas,Cleveland,05025,AR
Arkansas,Columbia,05027,AR
Arkansas,Conway,05029,AR
Arkansas,Craighead,05031,AR
Arkansas,Crawford,05033,AR
Arkansas,Crittenden,05035,AR
Arkansas,Cross,05037,AR
Arkansas,Dallas,05039,AR
Arkansas,Desha,05041,AR
Arkansas,Drew,05043,AR
Arkansas,Faulkner,05045,AR
Arkansas,Franklin,05047,AR
Arkansas,Fulton,05049,AR
Arkansas,Garland,05051,AR
Arkansas,Grant,05053,AR
Arkansas,Greene,05055,AR
Arkansas,Hempstead,05057,AR
Arkansas,Hot Spring,05059,AR
Arkansas,Howard,05061,AR
Arkansas,Independence,05063,AR
Arkansas,Izard,05065,AR
Arkansas,Jackson,05067,AR
Arkansas,Jefferson,05069,AR
Arkansas,Johnson,05071,AR
Arkansas,Lafayette,05073,AR
Arkansas,Lawrence,05075,AR
Arkansas,Lee,05077,AR
Arkansas,Lincoln,05079,AR
Arkansas,Little River,05081,AR
Arkansas,Logan,05083,AR
Arkansas,Lonoke,05085,AR
Arkansas,Madison,05087,AR
Arkansas,Marion,05089,AR
Arkansas,Miller,05091,AR
Arkansas,Mississippi,05093,AR
Arkansas,Monroe,05095,AR
Arkansas,Montgomery,05097,AR
Arkansas,Nevada,05099,AR
Arkansas,Newton,05101,AR
Arkansas,Ouachita,05103,AR
Arkansas,Perry,05105,AR
Arkansas,Phillips,05107,AR
Arkansas,Pike,05109,AR
Arkansas,Poinsett,05111,AR
Arkansas,Polk,05113,AR
Arkansas,Pope,05115,AR
Arkansas,Prairie,05117,AR
Arkansas,Pulaski,05119,AR
Arkansas,Randolph,05121,AR
Arkansas,Saline,05125,AR
Arkansas,Scott,05127,AR
Arkansas,Searcy,05129,AR
Arkansas,Sebastian,05131,AR
Arkansas,Sevier,05133,AR
Arkansas,Sharp,05135,AR
Arkansas,St. Francis,05123,AR
Arkansas,Stone,05137,AR
Arkansas,Union,05139,AR
Arkansas,Unknown,NA,AR
Arkansas,Van Buren,05141,AR
Arkansas,Washington,05143,AR
Arkansas,White,05145,AR
Arkansas,Woodruff,05147,AR
Arkansas,Yell,05149,AR
California,Alameda,06001,CA
California,Alpine,06003,CA
California,Amador,06005,CA
California,Butte,06007,CA
California,Calaveras,06009,CA
California,Colusa,06011,CA
California,Contra Costa,06013,CA
California,Del Norte,06015,CA
California,El Dorado,06017,CA
California,Fresno,06019,CA
California,Glenn,06021,CA
California,Humboldt,06023,CA
California,Imperial,06025,CA
California,Inyo,06027,CA
California,Kern,06029,CA
California,Kings,06031,CA
California,Lake,06033,CA
California,Lassen,06035,CA
California,Los Angeles,06037,CA
California,Madera,06039,CA
California,Marin,06041,CA
California,Mariposa,06043,CA
California,Mendocino,06045,CA
California,Merced,06047,CA
California,Modoc,06049,CA
California,Mono,06051,CA
California,Monterey,06053,CA
California,Napa,06055,CA
California,Nevada,06057,CA
California,Orange,06059,CA
California,Placer,06061,CA
California,Plumas,06063,CA
California,Riverside,06065,CA
California,Sacramento,06067,CA
California,San Benito,06069,CA
California,San Bernardino,06071,CA
California,San Diego,06073,CA
California,San Francisco,06075,CA
California,San Joaquin,06077,CA
California,San Luis Obispo,06079,CA
California,San Mateo,06081,CA
California,Santa Barbara,06083,CA
California,Santa Clara,06085,CA
California,Santa Cruz,06087,CA
California,Shasta,06089,CA
California,Sierra,06091,CA
California,Siskiyou,06093,CA
California,Solano,06095,CA
California,Sonoma,06097,CA
California,Stanislaus,06099,CA
California,Sutter,06101,CA
California,Tehama,06103,CA
California,Trinity,06105,CA
California,Tulare,06107,CA
California,Tuolumne,06109,CA
California,Unknown,NA,CA
California,Ventura,06111,CA
California,Yolo,06113,CA
California,Yuba,06115,CA
Colorado,Adams,08001,CO
Colorado,Alamosa,08003,CO
Colorado,Arapahoe,08005,CO
Colorado,Archuleta,08007,CO
Colorado,Baca,08009,CO
Colorado,Bent,08011,CO
Colorado,Boulder,08013,CO
Colorado,Broomfield,08014,CO
Colorado,Chaffee,08015,CO
Colorado,Cheyenne,08017,CO
Colorado,Clear Creek,08019,CO
Colorado,Conejos,08021,CO
Colorado,Costilla,08023,CO
Colorado,Crowley,08025,CO
Colorado,Custer,08027,CO
Colorado,Delta,08029,CO
Colorado,Denver,08031,CO
Colorado,Dolores,08033,CO
Colorado,Douglas,08035,CO
Colorado,Eagle,08037,CO
Colorado,El Paso,08041,CO
Colorado,Elbert,08039,CO
Colorado,Fremont,08043,CO
Colorado,Garfield,08045,CO
Colorado,Gilpin,08047,CO
Colorado,Grand,08049,CO
Colorado,Gunnison,08051,CO
Colorado,Hinsdale,08053,CO
Colorado,Huerfano,08055,CO
Colorado,Jackson,08057,CO
Colorado,Jefferson,08059,CO
Colorado,Kiowa,08061,CO
Colorado,Kit Carson,08063,CO
Colorado,La Plata,08067,CO
Colorado,Lake,08065,CO
Colorado,Larimer,08069,CO
Colorado,Las Animas,08071,CO
Colorado,Lincoln,08073,CO
Colorado,Logan,08075,CO
Colorado,Mesa,08077,CO
Colorado,Mineral,08079,CO
Colorado,Moffat,08081,CO
Colorado,Montezuma,08083,CO
Colorado,Montrose,08085,CO
Colorado,Morgan,08087,CO
Colorado,Otero,08089,CO
Colorado,Ouray,08091,CO
Colorado,Park,08093,CO
Colorado,Phillips,08095,CO
Colorado,Pitkin,08097,CO
Colorado,Prowers,08099,CO
Colorado,Pueblo,08101,CO
Colorado,Rio Blanco,08103,CO
Colorado,Rio Grande,08105,CO
Colorado,Routt,08107,CO
Colorado,Saguache,08109,CO
Colorado,San Juan,08111,CO
Colorado,San Miguel,08113,CO
Colorado,Sedgwick,08115,CO
Colorado,Summit,08117,CO
Colorado,Teller,08119,CO
Colorado,Unknown,NA,CO
Colorado,Washington,08121,CO
Colorado,Weld,08123,CO
Colorado,Yuma,08125,CO
Connecticut,Fairfield,09001,CT
Connecticut,Hartford,09003,CT
Connecticut,Litchfield,09005,CT
Connecticut,Middlesex,09007,CT
Connecticut,New Haven,09009,CT
Connecticut,New London,09011,CT
Connecticut,Tolland,09013,CT
Connecticut,Unknown,NA,CT
Connecticut,Windham,09015,CT
Delaware,Kent,10001,DE
Delaware,New Castle,10003,DE
Delaware,Sussex,10005,DE
Delaware,Unknown,NA,DE
District of Columbia,District of Columbia,11001,DC
Florida,Alachua,12001,FL
Florida,Baker,12003,FL
Florida,Bay,12005,FL
Florida,Bradford,12007,FL
Florida,Brevard,12009,FL
Florida,Broward,12011,FL
Florida,Calhoun,12013,FL
Florida,Charlotte,12015,FL
Florida,Citrus,12017,FL
Florida,Clay,12019,FL
Florida,Collier,12021,FL
Florida,Columbia,12023,FL
Florida,DeSoto,12027,FL
Florida,Dixie,12029,FL
Florida,Duval,12031,FL
Florida,Escambia,12033,FL
Florida,Flagler,12035,FL
Florida,Franklin,12037,FL
Florida,Gadsden,12039,FL
Florida,Gilchrist,12041,FL
Florida,Glades,12043,FL
Florida,Gulf,12045,FL
Florida,Hamilton,12047,FL
Florida,Hardee,12049,FL
Florida,Hendry,12051,FL
Florida,Hernando,12053,FL
Florida,Highlands,12055,FL
Florida,Hillsborough,12057,FL
Florida,Holmes,12059,FL
Florida,Indian River,12061,FL
Florida,Jackson,12063,FL
Florida,Jefferson,12065,FL
Florida,Lafayette,12067,FL
Florida,Lake,12069,FL
Florida,Lee,12071,FL
Florida,Leon,12073,FL
Florida,Levy,12075,FL
Florida,Liberty,12077,FL
Florida,Madison,12079,FL
Florida,Manatee,12081,FL
Florida,Marion,12083,FL
Florida,Martin,12085,FL
Florida,Miami-Dade,12086,FL
Florida,Monroe,12087,FL
Florida,Nassau,12089,FL
Florida,Okaloosa,12091,FL
Florida,Okeechobee,12093,FL
Florida,Orange,12095,FL
Florida,Osceola,12097,FL
Florida,Palm Beach,12099,FL
Florida,Pasco,12101,FL
Florida,Pinellas,12103,FL
Florida,Polk,12105,FL
Florida,Putnam,12107,FL
Florida,Santa Rosa,12113,FL
Florida,Sarasota,12115,FL
Florida,Seminole,12117,FL
Florida,St. Johns,12109,FL
Florida,St. Lucie,12111,FL
Florida,Sumter,12119,FL
Florida,Suwannee,12121,FL
Florida,Taylor,12123,FL
Florida,Union,12125,FL
Florida,Unknown,NA,FL
Florida,Volusia,12127,FL
Florida,Wakulla,12129,FL
Florida,Walton,12131,FL
Florida,Washington,12133,FL
Georgia,Appling,13001,GA
Georgia,Atkinson,13003,GA
Georgia,Bacon,13005,GA
Georgia,Baker,13007,GA
Georgia,Baldwin,13009,GA
Georgia,Banks,13011,GA
Georgia,Barrow,13013,GA
Georgia,Bartow,13015,GA
Georgia,Ben Hill,13017,GA
Georgia,Berrien,13019,GA
Georgia,Bibb,13021,GA
Georgia,Bleckley,13023,GA
Georgia,Brantley,13025,GA
Georgia,Brooks,13027,GA
Georgia,Bryan,13029,GA
Georgia,Bulloch,13031,GA
Georgia,Burke,13033,GA
Georgia,Butts,13035,GA
Georgia,Calhoun,13037,GA
Georgia,Camden,13039,GA
Georgia,Candler,13043,GA
Georgia,Carroll,13045,GA
Georgia,Catoosa,13047,GA
Georgia,Charlton,13049,GA
Georgia,Chatham,13051,GA
Georgia,Chattahoochee,13053,GA
Georgia,Chattooga,13055,GA
Georgia,Cherokee,13057,GA
Georgia,Clarke,13059,GA
Georgia,Clay,13061,GA
Georgia,Clayton,13063,GA
Georgia,Clinch,13065,GA
Georgia,Cobb,13067,GA
Georgia,Coffee,13069,GA
Georgia,Colquitt,13071,GA
Georgia,Columbia,13073,GA
Georgia,Cook,13075,GA
Georgia,Coweta,13077,GA
Georgia,Crawford,13079,GA
Georgia,Crisp,13081,GA
Georgia,Dade,13083,GA
Georgia,Dawson,13085,GA
Georgia,Decatur,13087,GA
Georgia,DeKalb,13089,GA
Georgia,Dodge,13091,GA
Georgia,Dooly,13093,GA
Georgia,Dougherty,13095,GA
Georgia,Douglas,13097,GA
Georgia,Early,13099,GA
Georgia,Echols,13101,GA
Georgia,Effingham,13103,GA
Georgia,Elbert,13105,GA
Georgia,Emanuel,13107,GA
Georgia,Evans,13109,GA
Georgia,Fannin,13111,GA
Georgia,Fayette,13113,GA
Georgia,Floyd,13115,GA
Georgia,Forsyth,13117,GA
Georgia,Franklin,13119,GA
Georgia,Fulton,13121,GA
Georgia,Gilmer,13123,GA
Georgia,Glascock,13125,GA
Georgia,Glynn,13127,GA
Georgia,Gordon,13129,GA
Georgia,Grady,13131,GA
Georgia,Greene,13133,GA
Georgia,Gwinnett,13135,GA
Georgia,Habersham,13137,GA
Georgia,Hall,13139,GA
Georgia,Hancock,13141,GA
Georgia,Haralson,13143,GA
Georgia,Harris,13145,GA
Georgia,Hart,13147,GA
Georgia,Heard,13149,GA
Georgia,Henry,13151,GA
Georgia,Houston,13153,GA
Georgia,Irwin,13155,GA
Georgia,Jackson,13157,GA
Georgia,Jasper,13159,GA
Georgia,Jeff Davis,13161,GA
Georgia,Jefferson,13163,GA
Georgia,Jenkins,13165,GA
Georgia,Johnson,13167,GA
Georgia,Jones,13169,GA
Georgia,Lamar,13171,GA
Georgia,Lanier,13173,GA
Georgia,Laurens,13175,GA
Georgia,Lee,13177,GA
Georgia,Liberty,13179,GA
Georgia,Lincoln,13181,GA
Georgia,Long,13183,GA
Georgia,Lowndes,13185,GA
Georgia,Lumpkin,13187,GA
Georgia,Macon,13193,GA
Georgia,Madison,13195,GA
Georgia,Marion,13197,GA
Georgia,McDuffie,13189,GA
Georgia,McIntosh,13191,GA
Georgia,Meriwether,13199,GA
Georgia,Miller,13201,GA
Georgia,Mitchell,13205,GA
Georgia,Monroe,13207,GA
Georgia,Montgomery,13209,GA
Georgia,Morgan,13211,GA
Georgia,Murray,13213,GA
Georgia,Muscogee,13215,GA
Georgia,Newton,13217,GA
Georgia,Oconee,13219,GA
Georgia,Oglethorpe,13221,GA
Georgia,Paulding,13223,GA
Georgia,Peach,13225,GA
Georgia,Pickens,13227,GA
Georgia,Pierce,13229,GA
Georgia,Pike,13231,GA
Georgia,Polk,13233,GA
Georgia,Pulaski,13235,GA
Georgia,Putnam,13237,GA
Georgia,Quitman,13239,GA
Georgia,Rabun,13241,GA
Georgia,Randolph,13243,GA
Georgia,Richmond,13245,GA
Georgia,Rockdale,13247,GA
Georgia,Schley,13249,GA
Georgia,Screven,13251,GA
Georgia,Seminole,13253,GA
Georgia,Spalding,13255,GA
Georgia,Stephens,13257,GA
Georgia,Stewart,13259,GA
Georgia,Sumter,13261,GA
Georgia,Talbot,13263,GA
Georgia,Taliaferro,13265,GA
Georgia,Tattnall,13267,GA
Georgia,Taylor,13269,GA
Georgia,Telfair,13271,GA
Georgia,Terrell,13273,GA
Georgia,Thomas,13275,GA
Georgia,Tift,13277,GA
Georgia,Toombs,13279,GA
Georgia,Towns,13281,GA
Georgia,Treutlen,13283,GA
Georgia,Troup,13285,GA
Georgia,Turner,13287,GA
Georgia,Twiggs,13289,GA
Georgia,Union,13291,GA
Georgia,Unknown,NA,GA
Georgia,Upson,13293,GA
Georgia,Walker,13295,GA
Georgia,Walton,13297,GA
Georgia,Ware,13299,GA
Georgia,Warren,13301,GA
Georgia,Washington,13303,GA
Georgia,Wayne,13305,GA
Georgia,Webster,13307,GA
Georgia,Wheeler,13309,GA
Georgia,White,13311,GA
Georgia,Whitfield,13313,GA
Georgia,Wilcox,13315,GA
Georgia,Wilkes,13317,GA
Georgia,Wilkinson,13319,GA
Georgia,Worth,13321,GA
Guam,Unknown,NA,NA
Hawaii,Hawaii,15001,HI
Hawaii,Honolulu,15003,HI
Hawaii,Kauai,15007,HI
Hawaii,Maui,15009,HI
Hawaii,Unknown,NA,HI
Idaho,Ada,16001,ID
Idaho,Adams,16003,ID
Idaho,Bannock,16005,ID
Idaho,Bear Lake,16007,ID
Idaho,Benewah,16009,ID
Idaho,Bingham,16011,ID
Idaho,Blaine,16013,ID
Idaho,Boise,16015,ID
Idaho,Bonner,16017,ID
Idaho,Bonneville,16019,ID
Idaho,Boundary,16021,ID
Idaho,Butte,16023,ID
Idaho,Camas,16025,ID
Idaho,Canyon,16027,ID
Idaho,Caribou,16029,ID
Idaho,Cassia,16031,ID
Idaho,Clark,16033,ID
Idaho,Clearwater,16035,ID
Idaho,Custer,16037,ID
Idaho,Elmore,16039,ID
Idaho,Franklin,16041,ID
Idaho,Fremont,16043,ID
Idaho,Gem,16045,ID
Idaho,Gooding,16047,ID
Idaho,Idaho,16049,ID
Idaho,Jefferson,16051,ID
Idaho,Jerome,16053,ID
Idaho,Kootenai,16055,ID
Idaho,Latah,16057,ID
Idaho,Lemhi,16059,ID
Idaho,Lewis,16061,ID
Idaho,Lincoln,16063,ID
Idaho,Madison,16065,ID
Idaho,Minidoka,16067,ID
Idaho,Nez Perce,16069,ID
Idaho,Oneida,16071,ID
Idaho,Owyhee,16073,ID
Idaho,Payette,16075,ID
Idaho,Power,16077,ID
Idaho,Shoshone,16079,ID
Idaho,Teton,16081,ID
Idaho,Twin Falls,16083,ID
Idaho,Unknown,NA,ID
Idaho,Valley,16085,ID
Idaho,Washington,16087,ID
Illinois,Adams,17001,IL
Illinois,Alexander,17003,IL
Illinois,Bond,17005,IL
Illinois,Boone,17007,IL
Illinois,Brown,17009,IL
Illinois,Bureau,17011,IL
Illinois,Calhoun,17013,IL
Illinois,Carroll,17015,IL
Illinois,Cass,17017,IL
Illinois,Champaign,17019,IL
Illinois,Christian,17021,IL
Illinois,Clark,17023,IL
Illinois,Clay,17025,IL
Illinois,Clinton,17027,IL
Illinois,Coles,17029,IL
Illinois,Cook,17031,IL
Illinois,Crawford,17033,IL
Illinois,Cumberland,17035,IL
Illinois,De Witt,17039,IL
Illinois,DeKalb,17037,IL
Illinois,Douglas,17041,IL
Illinois,DuPage,17043,IL
Illinois,Edgar,17045,IL
Illinois,Edwards,17047,IL
Illinois,Effingham,17049,IL
Illinois,Fayette,17051,IL
Illinois,Ford,17053,IL
Illinois,Franklin,17055,IL
Illinois,Fulton,17057,IL
Illinois,Gallatin,17059,IL
Illinois,Greene,17061,IL
Illinois,Grundy,17063,IL
Illinois,Hamilton,17065,IL
Illinois,Hancock,17067,IL
Illinois,Hardin,17069,IL
Illinois,Henderson,17071,IL
Illinois,Henry,17073,IL
Illinois,Iroquois,17075,IL
Illinois,Jackson,17077,IL
Illinois,Jasper,17079,IL
Illinois,Jefferson,17081,IL
Illinois,Jersey,17083,IL
Illinois,Jo Daviess,17085,IL
Illinois,Johnson,17087,IL
Illinois,Kane,17089,IL
Illinois,Kankakee,17091,IL
Illinois,Kendall,17093,IL
Illinois,Knox,17095,IL
Illinois,Lake,17097,IL
Illinois,LaSalle,17099,IL
Illinois,Lawrence,17101,IL
Illinois,Lee,17103,IL
Illinois,Livingston,17105,IL
Illinois,Logan,17107,IL
Illinois,Macon,17115,IL
Illinois,Macoupin,17117,IL
Illinois,Madison,17119,IL
Illinois,Marion,17121,IL
Illinois,Marshall,17123,IL
Illinois,Mason,17125,IL
Illinois,Massac,17127,IL
Illinois,McDonough,17109,IL
Illinois,McHenry,17111,IL
Illinois,McLean,17113,IL
Illinois,Menard,17129,IL
Illinois,Mercer,17131,IL
Illinois,Monroe,17133,IL
Illinois,Montgomery,17135,IL
Illinois,Morgan,17137,IL
Illinois,Moultrie,17139,IL
Illinois,Ogle,17141,IL
Illinois,Peoria,17143,IL
Illinois,Perry,17145,IL
Illinois,Piatt,17147,IL
Illinois,Pike,17149,IL
Illinois,Pope,17151,IL
Illinois,Pulaski,17153,IL
Illinois,Putnam,17155,IL
Illinois,Randolph,17157,IL
Illinois,Richland,17159,IL
Illinois,Rock Island,17161,IL
Illinois,Saline,17165,IL
Illinois,Sangamon,17167,IL
Illinois,Schuyler,17169,IL
Illinois,Scott,17171,IL
Illinois,Shelby,17173,IL
Illinois,St. Clair,17163,IL
Illinois,Stark,17175,IL
Illinois,Stephenson,17177,IL
Illinois,Tazewell,17179,IL
Illinois,Union,17181,IL
Illinois,Unknown,NA,IL
Illinois,Vermilion,17183,IL
Illinois,Wabash,17185,IL
Illinois,Warren,17187,IL
Illinois,Washington,17189,IL
Illinois,Wayne,17191,IL
Illinois,White,17193,IL
Illinois,Whiteside,17195,IL
Illinois,Will,17197,IL
Illinois,Williamson,17199,IL
Illinois,Winnebago,17201,IL
Illinois,Woodford,17203,IL
Indiana,Adams,18001,IN
Indiana,Allen,18003,IN
Indiana,Bartholomew,18005,IN
Indiana,Benton,18007,IN
Indiana,Blackford,18009,IN
Indiana,Boone,18011,IN
Indiana,Brown,18013,IN
Indiana,Carroll,18015,IN
Indiana,Cass,18017,IN
Indiana,Clark,18019,IN
Indiana,Clay,18021,IN
Indiana,Clinton,18023,IN
Indiana,Crawford,18025,IN
Indiana,Daviess,18027,IN
Indiana,Dearborn,18029,IN
Indiana,Decatur,18031,IN
Indiana,DeKalb,18033,IN
Indiana,Delaware,18035,IN
Indiana,Dubois,18037,IN
Indiana,Elkhart,18039,IN
Indiana,Fayette,18041,IN
Indiana,Floyd,18043,IN
Indiana,Fountain,18045,IN
Indiana,Franklin,18047,IN
Indiana,Fulton,18049,IN
Indiana,Gibson,18051,IN
Indiana,Grant,18053,IN
Indiana,Greene,18055,IN
Indiana,Hamilton,18057,IN
Indiana,Hancock,18059,IN
Indiana,Harrison,18061,IN
Indiana,Hendricks,18063,IN
Indiana,Henry,18065,IN
Indiana,Howard,18067,IN
Indiana,Huntington,18069,IN
Indiana,Jackson,18071,IN
Indiana,Jasper,18073,IN
Indiana,Jay,18075,IN
Indiana,Jefferson,18077,IN
Indiana,Jennings,18079,IN
Indiana,Johnson,18081,IN
Indiana,Knox,18083,IN
Indiana,Kosciusko,18085,IN
Indiana,LaGrange,18087,IN
Indiana,Lake,18089,IN
Indiana,LaPorte,18091,IN
Indiana,Lawrence,18093,IN
Indiana,Madison,18095,IN
Indiana,Marion,18097,IN
Indiana,Marshall,18099,IN
Indiana,Martin,18101,IN
Indiana,Miami,18103,IN
Indiana,Monroe,18105,IN
Indiana,Montgomery,18107,IN
Indiana,Morgan,18109,IN
Indiana,Newton,18111,IN
Indiana,Noble,18113,IN
Indiana,Ohio,18115,IN
Indiana,Orange,18117,IN
Indiana,Owen,18119,IN
Indiana,Parke,18121,IN
Indiana,Perry,18123,IN
Indiana,Pike,18125,IN
Indiana,Porter,18127,IN
Indiana,Posey,18129,IN
Indiana,Pulaski,18131,IN
Indiana,Putnam,18133,IN
Indiana,Randolph,18135,IN
Indiana,Ripley,18137,IN
Indiana,Rush,18139,IN
Indiana,Scott,18143,IN
Indiana,Shelby,18145,IN
Indiana,Spencer,18147,IN
Indiana,St. Joseph,18141,IN
Indiana,Starke,18149,IN
Indiana,Steuben,18151,IN
Indiana,Sullivan,18153,IN
Indiana,Switzerland,18155,IN
Indiana,Tippecanoe,18157,IN
Indiana,Tipton,18159,IN
Indiana,Union,18161,IN
Indiana,Unknown,NA,IN
Indiana,Vanderburgh,18163,IN
Indiana,Vermillion,18165,IN
Indiana,Vigo,18167,IN
Indiana,Wabash,18169,IN
Indiana,Warren,18171,IN
Indiana,Warrick,18173,IN
Indiana,Washington,18175,IN
Indiana,Wayne,18177,IN
Indiana,Wells,18179,IN
Indiana,White,18181,IN
Indiana,Whitley,18183,IN
Iowa,Adair,19001,IA
Iowa,Adams,19003,IA
Iowa,Allamakee,19005,IA
Iowa,Appanoose,19007,IA
Iowa,Audubon,19009,IA
Iowa,Benton,19011,IA
Iowa,Black Hawk,19013,IA
Iowa,Boone,19015,IA
Iowa,Bremer,19017,IA
Iowa,Buchanan,19019,IA
Iowa,Buena Vista,19021,IA
Iowa,Butler,19023,IA
Iowa,Calhoun,19025,IA
Iowa,Carroll,19027,IA
Iowa,Cass,19029,IA
Iowa,Cedar,19031,IA
Iowa,Cerro Gordo,19033,IA
Iowa,Cherokee,19035,IA
Iowa,Chickasaw,19037,IA
Iowa,Clarke,19039,IA
Iowa,Clay,19041,IA
Iowa,Clayton,19043,IA
Iowa,Clinton,19045,IA
Iowa,Crawford,19047,IA
Iowa,Dallas,19049,IA
Iowa,Davis,19051,IA
Iowa,Decatur,19053,IA
Iowa,Delaware,19055,IA
Iowa,Des Moines,19057,IA
Iowa,Dickinson,19059,IA
Iowa,Dubuque,19061,IA
Iowa,Emmet,19063,IA
Iowa,Fayette,19065,IA
Iowa,Floyd,19067,IA
Iowa,Franklin,19069,IA
Iowa,Fremont,19071,IA
Iowa,Greene,19073,IA
Iowa,Grundy,19075,IA
Iowa,Guthrie,19077,IA
Iowa,Hamilton,19079,IA
Iowa,Hancock,19081,IA
Iowa,Hardin,19083,IA
Iowa,Harrison,19085,IA
Iowa,Henry,19087,IA
Iowa,Howard,19089,IA
Iowa,Humboldt,19091,IA
Iowa,Ida,19093,IA
Iowa,Iowa,19095,IA
Iowa,Jackson,19097,IA
Iowa,Jasper,19099,IA
Iowa,Jefferson,19101,IA
Iowa,Johnson,19103,IA
Iowa,Jones,19105,IA
Iowa,Keokuk,19107,IA
Iowa,Kossuth,19109,IA
Iowa,Lee,19111,IA
Iowa,Linn,19113,IA
Iowa,Louisa,19115,IA
Iowa,Lucas,19117,IA
Iowa,Lyon,19119,IA
Iowa,Madison,19121,IA
Iowa,Mahaska,19123,IA
Iowa,Marion,19125,IA
Iowa,Marshall,19127,IA
Iowa,Mills,19129,IA
Iowa,Mitchell,19131,IA
Iowa,Monona,19133,IA
Iowa,Monroe,19135,IA
Iowa,Montgomery,19137,IA
Iowa,Muscatine,19139,IA
Iowa,O'Brien,19141,IA
